id,artista,numero,musica,genero
3357,Pepê e Neném,04200,MAIS UMA VEZ,Sertanejo (dupla presumida)
3358,Pepê e Neném,04121,MANIA DE VOCÊ,Sertanejo (dupla presumida)
3359,Pepê e Neném,04401,NADA ME FAZ ESQUECER,Sertanejo (dupla presumida)
3360,Pepeu Gomes,03256,SEXY YEMANJÁ,Desconhecido
3361,Pepeu Gomes,07173,MASCULINO E FEMININO,Desconhecido
3362,Péricles,15415,LINGUAGEM DOS OLHOS,Samba/Pagode
3363,Péricles,15474,SE EU LARGAR O FREIO,Samba/Pagode
3364,Péricles part. Luan Santana,33327,CUIDADO CUPIDO,Sertanejo
3365,Perlla,07469,TREMENDO VACILÃO,Desconhecido
3366,Perlla & Belo,07939,DEPOIS DO AMOR,Sertanejo (dupla presumida)
3367,Petter Ferraz e Menor Nico,31018,AMOR OU LITRÃO,Sertanejo (dupla presumida)
3368,Pikeno e Menor,33950,AMIGA PARCEIRA,Sertanejo (dupla presumida)
3369,Pimenta do Reino,30551,DON JUAN,Desconhecido
3370,Pimenta do Reino,30552,PENSANDO EM VOCÊ,Desconhecido
3371,Pimpinela,02740,SIGA SEU RUMO,Desconhecido
3372,Pitty,01985,ADMIRÁVEL CHIP NOVO,Desconhecido
3373,Pitty,06695,EQUALIZE,Desconhecido
3374,Pitty,02853,MÁSCARA,Desconhecido
3375,Pitty,02709,ME ADORA,Desconhecido
3376,Pitty,02715,NA SUA ESTANTE,Desconhecido
3377,Pitty,30030,PULSOS,Desconhecido
3378,Pitty,30534,SEMANA QUE VEM,Desconhecido
3379,Pitty,33329,SETEVIDAS,Desconhecido
3380,Pitty,15438,TETO DE VIDRO,Desconhecido
3381,Pixote,04382,A LUA E EU,Samba/Pagode
3382,Pixote,04438,FRENESI,Samba/Pagode
3383,Pixote,06136,IDEM,Samba/Pagode
3384,Pixote,09688,INSEGURANÇA,Samba/Pagode
3385,Pixote,33348,NUANCE,Samba/Pagode
3386,Pixote,33265,O AMOR NÃO TEM CULPA,Samba/Pagode
3387,Pixote,33316,SOLETRAR,Samba/Pagode
3388,Placa Luminosa,04081,FICA COMIGO,Desconhecido
3389,Placa Luminosa,06379,MAIS UMA VEZ,Desconhecido
3390,Planta & Raiz,33649,COM CERTEZA,Sertanejo (dupla presumida)
3391,Plebe Rude,06048,ATÉ QUANDO ESPERAR,Rock BR
3392,Pokémon,33849,TEMA ABERTURA,Desconhecido
3393,Pollo part. Fernanda Chagas,15354,TRAMA,Desconhecido
3394,Pollo part. Ivo Mozart,15198,VAGALUMES,Desconhecido
3395,Pollo part. Sorriso Maroto,33317,SOLTA NA NOITE,Samba/Pagode
3396,Premeditando o Breque,02816,"SÃO PAULO, SÃO PAULO",Desconhecido
3397,Preta Gil,06676,SINAIS DE FOGO,Desconhecido
3398,Preta Gil,33799,STEREO,Desconhecido
3399,Preta Gil ft. Gal Costa,30474,VÁ SE BENZER,MPB/Romântico
3400,Priscilla Alcantara,30181,MEU PRIMEIRO AMOR,Desconhecido
3401,Priscilla Alcantara,30992,GIRASSOL (R&B VERSION),Desconhecido
3402,"Priscilla Alcantara, Whindersson Nunes",30993,GIRASSOL,Desconhecido
3403,Projota,33930,ELA SÓ QUER PAZ,Pop/Funk BR
3404,Projota,15579,MULHER,Pop/Funk BR
3405,Projota ft. Anavitória,30345,LINDA,Pop/Funk BR
3406,Projota part. Anitta,33973,FAZ PARTE,Pop/Funk BR
3407,Psirico,15467,LEPO LEPO,Desconhecido
3408,Psirico,15344,MULHER BRASILEIRA (TODA BOA),Desconhecido
3409,Psirico,33537,TENHO XENHENHÉM,Desconhecido
3410,Raça Negra,03046,CHEIA DE MANIAS,Desconhecido
3411,Raça Negra,03463,CIGANA,Desconhecido
3412,Raça Negra,03049,CIÚME DE VOCÊ,Desconhecido
3413,Raça Negra,04310,DEUS ME LIVRE,Desconhecido
3414,Raça Negra,07947,DOCE PAIXÃO,Desconhecido
3415,Raça Negra,03072,É TARDE DEMAIS,Desconhecido
3416,Raça Negra,03083,ESTOU MAL,Desconhecido
3417,Raça Negra,30151,ESTRELA GUIA,Desconhecido
3418,Raça Negra,30447,GOSTOSO SENTIMENTO,Desconhecido
3419,Raça Negra,03120,JEITO FELINO,Desconhecido
3420,Raça Negra,03137,MARAVILHA,Desconhecido
3421,Raça Negra,03146,ME LEVA JUNTO COM VOCÊ,Desconhecido
3422,Raça Negra,04246,PERDI VOCÊ,Desconhecido
3423,Raça Negra,03537,PRECISO TER ALGUÉM,Desconhecido
3424,Raça Negra,30221,SEM VOCÊ (CAFÉ DA MANHÃ),Desconhecido
3425,Raça Negra,03258,SÓ COM VOCÊ,Desconhecido
3426,Raça Negra,30228,SOMENTE VOCÊ,Desconhecido
3427,Raça Negra,03494,SOZINHO,Desconhecido
3428,Raça Pura,33889,O PINTO,Desconhecido
3429,Racionais MC's,33655,DA PONTE PRA CÁ,Rap/Hip-Hop
3430,Racionais MC's,33837,FIM DE SEMANA NO PARQUE,Rap/Hip-Hop
3431,Racionais MC's,30003,HOMEM NA ESTRADA,Rap/Hip-Hop
3432,Racionais MC's,33674,JESUS CHOROU,Rap/Hip-Hop
3433,Racionais MC's,33833,MÁGICO DE OZ,Rap/Hip-Hop
3434,Racionais MC's,33922,NEGO DRAMA,Rap/Hip-Hop
3435,Racionais MC's,30026,VIDA LOKA (PARTE 1),Rap/Hip-Hop
3436,Racionais MC's,31070,DIÁRIO DE UM DETENTO,Rap/Hip-Hop
3437,Racionais MC's,31091,FORMULA MAGICA DA PAZ,Rap/Hip-Hop
3438,Racionais MC's,33462,VIDA LOKA (PARTE 2),Rap/Hip-Hop
3439,Rádio Táxi,03425,EVA,Desconhecido
3440,Rádio Táxi,03956,GAROTA DOURADA,Desconhecido
3441,Rádio Táxi,03980,UM AMOR DE VERÃO,Desconhecido
3442,Rádio Táxi,06364,COISAS DE CASAL,Desconhecido
3443,Rael,33929,ENVOLVIDÃO,Desconhecido
3444,Rafa e Pipo Marques part. Wesley Safadão,30234,TÔ DE BOAÇA,Forró/Piseiro
3445,Raí Saia Rodada,31047,TAPÃO NA RABA,Desconhecido
3446,Raimundos,04342,A MAIS PEDIDA,Rock BR
3447,Raimundos,03879,I SAW YOU SAYING,Rock BR
3448,Raimundos,15384,ME LAMBE,Rock BR
3449,Raimundos,04283,MULHER DE FASES,Rock BR
3450,Raimundos,33882,VINTE E POUCOS ANOS,Rock BR
3451,Rapazolla,06849,CORAÇÃO,Desconhecido
3452,Rasta Chinela,31019,MEL DA SUA BOCA,Desconhecido
3453,Rastapé,06208,BEIJO ROUBADO,Desconhecido
3454,Rastapé,06123,COLO DE MENINA,Desconhecido
3455,Raul Seixas,06161,A MAÇÃ,Desconhecido
3456,Raul Seixas,30478,ÁGUA VIVA,Desconhecido
3457,Raul Seixas,04423,ALUGA-SE,Desconhecido
3458,Raul Seixas,04029,COWBOY FORA DA LEI,Desconhecido
3459,Raul Seixas,03327,GITA,Desconhecido
3460,Raul Seixas,03133,MALUCO BELEZA,Desconhecido
3461,Raul Seixas,03147,MEDO DA CHUVA,Desconhecido
3462,Raul Seixas,03760,METAMORFOSE AMBULANTE,Desconhecido
3463,Raul Seixas,07385,MEU AMIGO PEDRO,Desconhecido
3464,Raul Seixas,30021,"O CARIMBADOR MALUCO (PLUNCT, PLACT, ZUM)",Desconhecido
3465,Raul Seixas,01928,OURO DE TOLO,Desconhecido
3466,Raul Seixas,06033,TENTE OUTRA VEZ,Desconhecido
3467,Raul Seixas,01879,TU ÉS O MDC DA MINHA VIDA,Desconhecido
3468,Raul Seixas,02662,ABRE-TE SÉSAMO,Desconhecido
3469,Raul Seixas,33100,CANCERIANO SEM LAR,Desconhecido
3470,Raul Seixas,03652,CAPIM GUINÉ,Desconhecido
3471,Raul Seixas,04070,COMO VOVÓ JÁ DIZIA,Desconhecido
3472,Raul Seixas,03089,EU NASCI HÁ DEZ MIL ANOS ATRÁS,Desconhecido
3473,Raul Seixas,02670,EU SOU EGOISTA,Desconhecido
3474,Raul Seixas,01676,LET ME SING LET ME SING,Desconhecido
3475,Raul Seixas,33234,METRÔ LINHA 743,Desconhecido
3476,Raul Seixas,01946,MOSCA DA SOPA,Desconhecido
3477,Raul seixas,02732,NO FUNDO DO QUINTAL DA ESCOLA,Desconhecido
3478,Raul Seixas,01899,O DIA EM QUE A TERRA PAROU,Desconhecido
3479,Raul Seixas,33562,PARANÓIA,Desconhecido
3480,Raul Seixas,33561,PASTOR JOÃO E A IGREJA INVISÍVEL,Desconhecido
3481,Raul Seixas,03897,ROCK DAS ARANHAS,Desconhecido
3482,Raul Seixas,02767,S.O.S,Desconhecido
3483,Raul Seixas,06512,SOCIEDADE ALTERNATIVA,Desconhecido
3484,Raul Seixas,03687,TREM DAS SETE,Desconhecido
3485,Razão Brasileira,03088,EU MENTI,Desconhecido
3486,Reginaldo Rossi,04262,A RAPOSA E AS UVAS,Desconhecido
3487,Reginaldo Rossi,30149,DONO DO TEU CORAÇÃO,Desconhecido
3488,Reginaldo Rossi,04114,GARÇOM,Desconhecido
3489,Reginaldo Rossi,04480,LEVIANA,Desconhecido
3490,Reginaldo Rossi,04164,"MON AMOUR, MEU BEM, MA FEMME",Desconhecido
3491,Reginaldo Rossi,30220,SE MEU AMOR NÃO CHEGAR,Desconhecido
3492,Regis Danese,01131,FAZ UM MILAGRE EM MIM,Desconhecido
3493,Rei da Cacimbinha,33669,FURDUNÇO E SURURU,Desconhecido
3494,Rei da Cacimbinha,33681,MEU PAI É FODA,Desconhecido
3495,Rei da Cacimbinha,33684,MURIÇOCA,Desconhecido
3496,Rei da Cacimbinha,33702,POP 100,Desconhecido
3497,Rei Leão,30810,CICLO SEM FIM,Desconhecido
3498,Renata Brasil,33612,HORA DA VIRADA,Desconhecido
3499,Renato e Seus Blue Caps,33866,ANA,Sertanejo (dupla presumida)
3500,Renato e Seus Blue Caps,30137,COM VOCÊ NO CORAÇÃO,Sertanejo (dupla presumida)
3501,Renato e Seus Blue Caps,06211,FECHE OS OLHOS,Sertanejo (dupla presumida)
3502,Renato e Seus Blue Caps,03922,MENINA LINDA,Sertanejo (dupla presumida)
3503,Renato e Seus Blue Caps,04125,NÃO TE ESQUECEREI,Sertanejo (dupla presumida)
3504,Renato Russo,04355,HOJE A NOITE NÃO TEM LUAR,Desconhecido
3505,Renato Russo,03639,STRANI AMORI,Desconhecido
3506,Renato Teixeira,30599,AMANHECEU PEGUEI A VIOLA,Desconhecido
3507,Renato Terra,07571,COISA DE MOMENTO,Desconhecido
3508,Renê e Ronaldo,30862,HOJE EU QUERO TE AMAR,Sertanejo (dupla presumida)
3509,Ricardo Chaves,30318,É O BICHO,Desconhecido
3510,Ricardo Chaves,03185,O BICHO,Desconhecido
3511,Ricardo e Joao Fernando,33334,SEGUNDA-FEIRA PASSA,Sertanejo (dupla presumida)
3512,"Ricardo Ozcar, Tarcísio do Acordeon",31092,TEM QUE SER AGORA,Desconhecido
3513,Rick & Renner,30129,CASA DE CABOCLO,Sertanejo (dupla presumida)
3514,Rick & Renner,07933,CREDENCIAL,Sertanejo (dupla presumida)
3515,Rick & Renner,04076,ELA É DEMAIS,Sertanejo (dupla presumida)
3516,Rick & Renner,06571,EU SEM VOCÊ,Sertanejo (dupla presumida)
3517,Rick & Renner,01453,FAZ AMOR QUE PASSA,Sertanejo (dupla presumida)
3518,Rick & Renner,07608,FILHA,Sertanejo (dupla presumida)
3519,Rick & Renner,09685,HOMEM CARENTE,Sertanejo (dupla presumida)
3520,Rick & Renner,01458,MÃE,Sertanejo (dupla presumida)
3521,Rick & Renner,15850,MIL VEZES CANTAREI,Sertanejo (dupla presumida)
3522,Rick & Renner,33447,PAIXÃO DE PEÃO,Sertanejo (dupla presumida)
3523,Rick & Renner,04266,CARA DE PAU,Sertanejo (dupla presumida)
3524,Rick & Renner,09421,COISA DE DEUS,Sertanejo (dupla presumida)
3525,Rick & Renner,06820,EU MEREÇO,Sertanejo (dupla presumida)
3526,Rick & Renner,04395,FIM DE SEMANA,Sertanejo (dupla presumida)
3527,Rick & Renner,04362,MULECA,Sertanejo (dupla presumida)
3528,Rick & Renner,06510,SÓ PENSANDO EM VOCÊ,Sertanejo (dupla presumida)
3529,Rick & Renner,33536,TIRA A ROUPA,Sertanejo (dupla presumida)
3530,Rick e Renner,01735,ESCOLTA DE VAGALUMES,Sertanejo (dupla presumida)
3531,Rick e Renner,06952,NÓIS TROPICA MAS NÃO CAI,Sertanejo (dupla presumida)
3532,Rionegro & Solimões,04261,A GENTE SE ENTREGA,Sertanejo (dupla presumida)
3533,Rionegro & Solimões,06888,AJEITE O TREM AI,Sertanejo (dupla presumida)
3534,Rionegro & Solimões,30031,AMOR DESENCONTRADO,Sertanejo (dupla presumida)
3535,Rionegro & Solimões,30134,CLUBE DO BATIDÃO,Sertanejo (dupla presumida)
3536,Rionegro & Solimões,04151,DE SÃO PAULO A BELÉM,Sertanejo (dupla presumida)
3537,Rionegro & Solimões,33336,DEPOIS DE VOCÊ,Sertanejo (dupla presumida)
3538,Rionegro & Solimões,33157,DEUS ME LIVRE,Sertanejo (dupla presumida)
3539,Rionegro & Solimões,04312,FALTA VOCÊ,Sertanejo (dupla presumida)
3540,Rionegro & Solimões,04439,FRIO DA MADRUGADA,Sertanejo (dupla presumida)
3541,Rionegro & Solimões,06181,LENHA,Sertanejo (dupla presumida)
3542,Rionegro & Solimões,06657,MADRUGADA TRISTE,Sertanejo (dupla presumida)
3543,Rionegro & Solimões,01148,MOÍDO DE PAIXÃO,Sertanejo (dupla presumida)
3544,Rionegro & Solimões,06620,NA SOLA DA BOTA,Sertanejo (dupla presumida)
3545,Rionegro & Solimões,33247,NÃO TÔ NEM AÍ,Sertanejo (dupla presumida)
3546,Rionegro & Solimões,15310,O COWBOY VAI TE PEGAR,Sertanejo (dupla presumida)
3547,Rionegro & Solimões,33563,Ô DE CASA Ô DE FORA,Sertanejo (dupla presumida)
3548,Rionegro & Solimões,09303,O GRITO DA GALERA,Sertanejo (dupla presumida)
3549,Rionegro & Solimões,06154,SÓ ALEGRIA,Sertanejo (dupla presumida)
3550,Rionegro & Solimões,04375,SÓ LEMBRANÇAS,Sertanejo (dupla presumida)
3551,Rionegro & Solimões,09362,VIDA DE CÃO,Sertanejo (dupla presumida)
3552,Rionegro e Solimões,04389,BATE O PÉ,Sertanejo (dupla presumida)
3553,Rita Lee,06647,AMOR E SEXO,Desconhecido
3554,Rita Lee,03041,CASO SÉRIO,Desconhecido
3555,Rita Lee,03061,DESCULPE O AUÊ,Desconhecido
3556,Rita Lee,03065,DOCE VAMPIRO,Desconhecido
3557,Rita Lee,03103,FLAGRA,Desconhecido
3558,Rita Lee,03124,LANÇA PERFUME,Desconhecido
3559,Rita Lee,06523,AGORA SÓ FALTA VOCÊ,Desconhecido
3560,Rita Lee,03025,BANHO DE ESPUMA,Desconhecido
3561,Rita Lee,07308,BWANA,Desconhecido
3562,Rita Lee,04357,JARDINS DA BABILÔNIA,Desconhecido
3563,Rita Lee,03135,MANIA DE VOCÊ,Desconhecido
3564,Rita Lee,33827,MISS BRASIL 2000,Desconhecido
3565,Rita Lee,03674,"NEM LUXO, NEM LIXO",Desconhecido
3566,Rita Lee,03201,OVELHA NEGRA,Desconhecido
3567,Rita Lee,02815,REZA,Desconhecido
3568,Rita Lee,09535,SÓ DE VOCÊ,Desconhecido
3569,Ritchie,07292,A VIDA TEM DESSAS COISAS,Desconhecido
3570,Ritchie,03434,MENINA VENENO,Desconhecido
3571,Ritchie,03440,PELO INTERFONE,Desconhecido
3572,Ritchie,04058,TRANSAS,Desconhecido
3573,Ritchie,33342,UM HOMEM EM VOLTA DO MUNDO,Desconhecido
3574,Roberta Campos,30116,MINHA FELICIDADE,Desconhecido
3575,Roberta Campos e Nando Reis,02906,DE JANEIRO A JANEIRO,Sertanejo (dupla presumida)
3576,Roberta Miranda,06165,ATRAÇÃO FATAL,Desconhecido
3577,Roberta Miranda,03360,DÓI,Desconhecido
3578,Roberta Miranda,04153,É AMOR DEMAIS,Desconhecido
3579,Roberta Miranda,06133,FAZ AMOR COMIGO,Desconhecido
3580,Roberta Miranda,04277,LUAR DO SERTÃO,Desconhecido
3581,Roberta Miranda,03331,MEU DENGO,Desconhecido
3582,Roberta Miranda,03344,SÃO TANTAS COISAS,Desconhecido
3583,Roberta Miranda,33467,SOL DA MINHA VIDA,Desconhecido
3584,Roberta Miranda,33796,TINHA QUE ACONTECER,Desconhecido
3585,Roberta Miranda,03982,A MULHER EM MIM,Desconhecido
3586,Roberta Miranda,33160,DUAS TAÇAS,Desconhecido
3587,Roberta Miranda,33235,MEUS MOMENTOS,Desconhecido
3588,Roberta Miranda,33306,SÓ NÓS DOIS,Desconhecido
3589,Roberta Miranda,03396,VÁ COM DEUS,Desconhecido
3590,Roberta Miranda e Reginaldo Rossi,04181,AMANHÃ,Sertanejo (dupla presumida)
3591,Roberta Sá,33338,PAVILHAO DE ESPELHOS,Desconhecido
3592,Roberto Carlos,06401,A DISTÂNCIA,MPB/Romântico
3593,Roberto Carlos,07042,A GAROTA DO BAILE,MPB/Romântico
3594,Roberto Carlos,04421,A GUERRA DOS MENINOS,MPB/Romântico
3595,Roberto Carlos,33874,A JANELA,MPB/Romântico
3596,Roberto Carlos,15242,A MULHER QUE EU AMO,MPB/Romântico
3597,Roberto Carlos,30274,ALÔ,MPB/Romântico
3598,Roberto Carlos,03012,AMADA AMANTE,MPB/Romântico
3599,Roberto Carlos,03825,AMANTE À MODA ANTIGA,MPB/Romântico
3600,Roberto Carlos,33468,AMAZÔNIA,MPB/Romântico
3601,Roberto Carlos,03403,AMIGO,MPB/Romântico
3602,Roberto Carlos,03902,AMOR PERFEITO,MPB/Romântico
3603,Roberto Carlos,06045,AMOR SEM LIMITES,MPB/Romântico
3604,Roberto Carlos,01823,AQUELE BEIJO QUE TE DEI,MPB/Romântico
3605,Roberto Carlos,03905,AS CANÇÕES QUE VOCÊ FEZ PRA MIM,MPB/Romântico
3606,Roberto Carlos,06085,AS CURVAS DA ESTRADA DE SANTOS,MPB/Romântico
3607,Roberto Carlos,30038,AS FLORES DO JARDIM DA NOSSA CASA,MPB/Romântico
3608,Roberto Carlos,03309,CAFÉ DA MANHÃ,MPB/Romântico
3609,Roberto Carlos,06209,CAMA E MESA,MPB/Romântico
3610,Roberto Carlos,04147,CAMINHONEIRO,MPB/Romântico
3611,Roberto Carlos,15525,CARTAS DE AMOR,MPB/Romântico
3612,Roberto Carlos,04149,CAVALGADA,MPB/Romântico
3613,Roberto Carlos,03050,COISA BONITA,MPB/Romântico
3614,Roberto Carlos,03314,COMO É GRANDE O MEU AMOR POR VOCÊ,MPB/Romântico
3615,Roberto Carlos,03700,COMO VAI VOCÊ?,MPB/Romântico
3616,Roberto Carlos,33854,CÔNCAVO CONVEXO,MPB/Romântico
3617,Roberto Carlos,04469,CUSTE O QUE CUSTAR,MPB/Romântico
3618,Roberto Carlos,03837,DEBAIXO DOS CARACÓIS DOS SEUS CABELOS,MPB/Romântico
3619,Roberto Carlos,01975,DESABAFO,MPB/Romântico
3620,Roberto Carlos,03063,DETALHES,MPB/Romântico
3621,Roberto Carlos,01816,É PAPO FIRME,MPB/Romântico
3622,Roberto Carlos,03074,EMOÇÕES,MPB/Romântico
3623,Roberto Carlos,03080,ESQUEÇA (FORGET HIM),MPB/Romântico
3624,Roberto Carlos,02865,ESSE CARA SOU EU,MPB/Romântico
3625,Roberto Carlos,07130,EU SOU TERRÍVEL,MPB/Romântico
3626,Roberto Carlos,03521,"EU TE AMO, TE AMO, TE AMO",MPB/Romântico
3627,Roberto Carlos,03913,FALANDO SÉRIO,MPB/Romântico
3628,Roberto Carlos,03999,FERA FERIDA,MPB/Romântico
3629,Roberto Carlos,04352,FORÇA ESTRANHA,MPB/Romântico
3630,Roberto Carlos,15012,FURDÚNCIO,MPB/Romântico
3631,Roberto Carlos,04320,LADY LAURA,MPB/Romântico
3632,Roberto Carlos,03881,LOBO MAU,MPB/Romântico
3633,Roberto Carlos,01859,"MEU QUERIDO, MEU VELHO, MEU AMIGO",MPB/Romântico
3634,Roberto Carlos,03164,MULHER PEQUENA,MPB/Romântico
3635,Roberto Carlos,04402,NAMORADINHA DE UM AMIGO MEU,MPB/Romântico
3636,Roberto Carlos,02762,NÃO SE ESQUEÇA DE MIM,MPB/Romântico
3637,Roberto Carlos,02763,NINGUÉM VAI TIRAR VOCÊ DE MIM,MPB/Romântico
3638,Roberto Carlos,04087,NOSSA SENHORA,MPB/Romântico
3639,Roberto Carlos,02743,NOSSO AMOR,MPB/Romântico
3640,Roberto Carlos,15309,O AMOR É MAIS,MPB/Romântico
3641,Roberto Carlos,06023,O CALHAMBEQUE,MPB/Romântico
3642,Roberto Carlos,06188,O GRANDE AMOR DA MINHA VIDA,MPB/Romântico
3643,Roberto Carlos,15237,O HOMEM,MPB/Romântico
3644,Roberto Carlos,01925,O PORTÃO,MPB/Romântico
3645,Roberto Carlos,03200,OUTRA VEZ,MPB/Romântico
3646,Roberto Carlos,30654,PASSATEMPO,MPB/Romântico
3647,Roberto Carlos,03994,POR ISSO CORRO DEMAIS,MPB/Romântico
3648,Roberto Carlos,15783,PRECISO LHE ENCONTRAR,MPB/Romântico
3649,Roberto Carlos,15267,PROMESSA,MPB/Romântico
3650,Roberto Carlos,04209,PROPOSTA,MPB/Romântico
3651,Roberto Carlos,03235,QUERO QUE VÁ TUDO PRO INFERNO,MPB/Romântico
3652,Roberto Carlos,02896,ROTINA,MPB/Romântico
3653,Roberto Carlos,30223,SEREIA,MPB/Romântico
3654,Roberto Carlos,01877,SÓ VOU GOSTAR DE QUEM GOSTA DE MIM,MPB/Romântico
3655,Roberto Carlos,30227,SÓ VOU SE VOCÊ FOR,MPB/Romântico
3656,Roberto Carlos,06387,SUA ESTUPIDEZ,MPB/Romântico
3657,Roberto Carlos,06316,TODOS ESTÃO SURDOS,MPB/Romântico
3658,Roberto Carlos,33763,TRAUMAS,MPB/Romântico
3659,Roberto Carlos,15757,TUDO PARA,MPB/Romântico
3660,Roberto Carlos,01819,VOCÊ DEIXOU ALGUÉM A ESPERAR,MPB/Romântico
3661,Roberto Carlos,04100,VOCÊ NÃO SERVE PRA MIM,MPB/Romântico
3662,Roberto Carlos,15780,O SHOW JA TERMONIOU,MPB/Romântico
3663,Roberto Carlos,30811,"120, 150, 200",MPB/Romântico
3664,Roberto Carlos,30863,PERGUNTE PRO SEU CORAÇÃO,MPB/Romântico
3665,Roberto Carlos,06425,NEGRO GATO,MPB/Romântico
3666,Roberto Carlos,30925,O DIVÃ,MPB/Romântico
3667,Roberto Carlos,03943,A VOLTA,MPB/Romântico
3668,Roberto Carlos,03985,ABRÁZAME ASÍ,MPB/Romântico
3669,Roberto Carlos,02902,AS BALEIAS,MPB/Romântico
3670,Roberto Carlos,02861,COMO DOIS E DOIS,MPB/Romântico
3671,Roberto Carlos,02669,EU QUERO APENAS,MPB/Romântico
3672,Roberto Carlos,02691,LUZ DIVINA,MPB/Romântico
3673,Roberto Carlos,33577,MEU PEQUENO CACHOEIRO,MPB/Romântico
3674,Roberto Carlos,03580,MULHER DE 40,MPB/Romântico
3675,Roberto Carlos,03930,QUANDO,MPB/Romântico
3676,Roberto Carlos,06195,SPLISH SPLASH,MPB/Romântico
3677,Roberto Carlos,15799,VOCÊ NÃO SABE,MPB/Romântico
3678,Roberto Carlos & Balão Mágico,07116,É TÃO LINDO,MPB/Romântico
3679,Roberto Carlos & Chitãozinho e Xororó,07061,ARRASTA UMA CADEIRA,Sertanejo
3680,Roberto Carlos e Erasmo Carlos,04411,SENTADO A BEIRA DO CAMINHO,MPB/Romântico
3681,Roberto Carlos part. Jennifer Lopez,30103,CHEGASTE,MPB/Romântico
3682,Roberto Menescal,33344,VOCÊ,Desconhecido
3683,Robinson Monteiro,33549,SE TU QUISERES CRER,Desconhecido
3684,Robinson Monteiro,06307,PRA SEMPRE VOU TE AMAR,Desconhecido
3685,Rodrigo Faro,04484,NÃO DIGA NADA,Desconhecido
3686,Ronaldo e os Barcelos,03954,FELIZ ANIVERSÁRIO,Sertanejo (dupla presumida)
3687,Ronnie Cord,03032,BIQUINI DE BOLINHA AMARELINHA,Desconhecido
3688,Ronnie Von,03003,A PRAÇA,Desconhecido
3689,Rony e Baby,33332,SÓ ZOEIRA,Sertanejo (dupla presumida)
3690,Rosana,04366,O AMOR E O PODER,Desconhecido
3691,Rosana,01806,CUSTE O QUE CUSTAR,Desconhecido
3692,Rosana,03480,NEM UM TOQUE,Desconhecido
3693,Rouge,06564,BRILHA LA LUNA,Desconhecido
3694,Rouge,30697,DONA DA MINHA VIDA,Desconhecido
3695,Rouge,06499,NÃO DÁ PRA RESISTIR,Desconhecido
3696,Rouge,06507,RAGATANGA (ASEREJÉ),Desconhecido
3697,Rouge,06639,UM ANJO VEIO ME FALAR,Desconhecido
3698,Rouge,06527,BEIJO MOLHADO,Desconhecido
3699,Rouge,06725,BLÁ BLÁ BLÁ,Desconhecido
3700,Rouge & KLB,30926,NUNCA DEIXE DE SONHAR,Sertanejo (dupla presumida)
3701,Roupa Nova,06842,À FLOR DA PELE,MPB/Romântico
3702,Roupa Nova,03005,A VIAGEM,MPB/Romântico
3703,Roupa Nova,03553,AMAR É...,MPB/Romântico
3704,Roupa Nova,06287,BEM SIMPLES,MPB/Romântico
3705,Roupa Nova,03313,"COMEÇO, MEIO E FIM",MPB/Romântico
3706,Roupa Nova,06125,CORAÇÃO PIRATA,MPB/Romântico
3707,Roupa Nova,30046,DE VOLTA AO COMEÇO,MPB/Romântico
3708,Roupa Nova,03068,DONA,MPB/Romântico
3709,Roupa Nova,03527,LINDA DEMAIS,MPB/Romântico
3710,Roupa Nova,06067,MEU UNIVERSO É VOCÊ,MPB/Romântico
3711,Roupa Nova,01700,OS CORAÇÕES NÃO SÃO IGUAIS,MPB/Romântico
3712,Roupa Nova,06273,SAPATO VELHO,MPB/Romântico
3713,Roupa Nova,03253,SEGUINDO NO TREM AZUL,MPB/Romântico
3714,Roupa Nova,04218,TÍMIDA,MPB/Romântico
3715,Roupa Nova,03550,VOLTA PRA MIM,MPB/Romântico
3716,Roupa Nova,03300,WHISKY A GO-GO,MPB/Romântico
3717,Roupa Nova,03630,NOSSA HISTÓRIA,MPB/Romântico
3718,Roupa Nova,03502,A FORÇA DO AMOR,MPB/Romântico
3719,Roupa Nova,33604,A METADE DA MAÇÃ,MPB/Romântico
3720,Roupa Nova,33872,A PAZ (HEAL THE WORLD),MPB/Romântico
3721,Roupa Nova,03405,ANJO,MPB/Romântico
3722,Roupa Nova,04104,CLAREAR,MPB/Romântico
3723,Roupa Nova,07097,CORAÇÕES PSICODÉLICOS,MPB/Romântico
3724,Roupa Nova,04471,DEIXA O AMOR ACONTECER,MPB/Romântico
3725,Roupa Nova,06634,SHOW DE ROCK ROLL,MPB/Romântico
3726,Roupa Nova,15434,SONHO,MPB/Romântico
3727,Roupa Nova,33363,VÍCIO,MPB/Romântico
3728,Roupa Nova part. Claúdia Leitte,09353,UM SONHO A DOIS,MPB/Romântico
3729,Royce do Cavaco,33381,CORAÇÃO FEITO MENINO,Desconhecido
3730,Royce do Cavaco,03107,FRENTE A FRENTE,Desconhecido
3731,RPM,07284,A CRUZ E A ESPADA,Desconhecido
3732,RPM,06361,ALVORADA VORAZ,Desconhecido
3733,RPM,04440,LOURAS GELADAS,Desconhecido
3734,RPM,03197,OLHAR 43,Desconhecido
3735,RPM,06471,ONDE ESTA MEU AMOR,Desconhecido
3736,RPM,04334,RÁDIO PIRATA,Desconhecido
3737,RPM,07431,REVOLUÇÕES POR MINUTOS,Desconhecido
3738,RPM,04276,LONDON LONDON,Desconhecido
