id,artista,numero,musica,genero
2748,Maria Bethânia,09416,CHEIRO DE AMOR,MPB/Romântico
2749,Maria Bethânia,07324,CORACAO ATEU,MPB/Romântico
2750,Maria Bethânia,30502,CORAÇÃO ATEU,MPB/Romântico
2751,Maria Bethânia,04109,É O AMOR,MPB/Romântico
2752,Maria Bethânia,07349,ESSE CARA,MPB/Romântico
2753,Maria Bethânia,03096,EXPLODE CORAÇÃO,MPB/Romântico
2754,Maria Bethânia,03842,GRITO DE ALERTA,MPB/Romântico
2755,Maria Bethânia,03171,NEGUE,MPB/Romântico
2756,Maria Bethânia,04044,OLHA,MPB/Romântico
2757,Maria Bethânia,06271,PRECISO APRENDER A SER SÓ,MPB/Romântico
2758,Maria Bethânia,09868,RECONVEXO,MPB/Romântico
2759,Maria Bethânia,03241,RONDA,MPB/Romântico
2760,Maria Bethânia,09335,SÁBADO EM COPACABANA,MPB/Romântico
2761,Maria Bethânia,03111,GOSTOSO DEMAIS,MPB/Romântico
2762,Maria Bethânia,06629,OLHOS NOS OLHOS,MPB/Romântico
2763,Maria Bethânia,09504,ONDE ESTARÁ O MEU AMOR,MPB/Romântico
2764,Maria Bethânia,03391,SONHO MEU,MPB/Romântico
2765,Maria Cecília e Rodolfo,33241,BEIJO BOM,Sertanejo (dupla presumida)
2766,Maria Cecília e Rodolfo,01408,"CEGO, SURDO E MUDO",Sertanejo (dupla presumida)
2767,Maria Cecília e Rodolfo,01245,COISAS EXOTÉRICAS,Sertanejo (dupla presumida)
2768,Maria Cecília e Rodolfo,33933,DEPOIS DA BRIGA,Sertanejo (dupla presumida)
2769,Maria Cecília e Rodolfo,30498,MATO E MORRO POR VOCÊ,Sertanejo (dupla presumida)
2770,Maria Cecília e Rodolfo,15548,NUNCA MAIS ME DEIXE,Sertanejo (dupla presumida)
2771,Maria Cecília e Rodolfo,01755,TCHAU TCHAU,Sertanejo (dupla presumida)
2772,Maria Cecília e Rodolfo,33243,TRÊS PALAVRAS,Sertanejo (dupla presumida)
2773,Maria Cecília e Rodolfo,01157,VOCÊ DE VOLTA,Sertanejo (dupla presumida)
2774,Maria Cecília e Rodolfo,01366,QUEM AMA CUIDA,Sertanejo (dupla presumida)
2775,Maria Cecília e Rodolfo & Jorge e Mateus,33242,SÓ DE PENSAR,Sertanejo
2776,Maria Gadú,01962,A HISTÓRIA DE LILY BRAUN,Desconhecido
2777,Maria Gadú,01846,BELA FLOR,Desconhecido
2778,Maria Gadú,15032,DONA CILA,Desconhecido
2779,Maria Gadú,33244,NE ME QUITTE PAS,Desconhecido
2780,Maria Gadú,09313,ORAÇÃO AO TEMPO,Desconhecido
2781,Maria Gadú,01314,SHIMBALAIÊ,Desconhecido
2782,Maria Rita,06685,CARA VALENTE,Desconhecido
2783,Maria Rita,07094,CONTA OUTRA,Desconhecido
2784,Maria Rita,33511,CORPITCHO,Desconhecido
2785,Maria Rita,06731,ENCONTROS E DESPEDIDAS,Desconhecido
2786,Maria Rita,30359,MINHA ALMA (A PAZ QUE EU NÃO QUERO),Desconhecido
2787,Maria Rita,09341,TÁ PERDOADO,Desconhecido
2788,Maria Rita,02734,PAGÚ,Desconhecido
2789,Marília Mendonça,30481,A GENTE NÃO TÁ JUNTO,Sertanejo
2790,Marília Mendonça,30095,ALÔ PORTEIRO,Sertanejo
2791,Marília Mendonça,30058,AMANTE NÃO TEM LAR,Sertanejo
2792,Marília Mendonça,30487,AUSÊNCIA,Sertanejo
2793,Marília Mendonça,30689,BEM PIOR QUE EU,Sertanejo
2794,Marília Mendonça,30607,BYE BYE,Sertanejo
2795,Marília Mendonça,30614,CIUMEIRA,Sertanejo
2796,Marília Mendonça,33961,COMO FAZ COM ELA,Sertanejo
2797,Marília Mendonça,30305,DE QUEM É A CULPA,Sertanejo
2798,Marília Mendonça,33927,ESSE CARA AQUI DO LADO,Sertanejo
2799,Marília Mendonça,30623,ESTRANHO,Sertanejo
2800,Marília Mendonça,33970,EU SEI DE COR,Sertanejo
2801,Marília Mendonça,33890,FOLGADO,Sertanejo
2802,Marília Mendonça,33693,INFIEL,Sertanejo
2803,Marília Mendonça,30177,MEU CUPIDO É GARI,Sertanejo
2804,Marília Mendonça,33818,O QUE É AMOR PRA VOCÊ,Sertanejo
2805,Marília Mendonça,30205,PERTO DE VOCÊ,Sertanejo
2806,Marília Mendonça,33913,QUATRO E QUINZE,Sertanejo
2807,Marília Mendonça,33987,SAUDADE DO MEU EX,Sertanejo
2808,Marília Mendonça,30719,SEM SAL,Sertanejo
2809,Marília Mendonça,30008,SENTIMENTO LOUCO,Sertanejo
2810,Marília Mendonça,30915,GRAVETO,Sertanejo
2811,Marília Mendonça,30981,TENTATIVAS,Sertanejo
2812,Marília Mendonça,31017,DEPRÊ,Sertanejo
2813,Marília Mendonça,31039,FOI POR CONVENIÊNCIA,Sertanejo
2814,Marília Mendonça,31040,TROCA DE CALÇADA,Sertanejo
2815,Marília Mendonça,30733,BEBI LIGUEI,Sertanejo
2816,Marília Mendonça,30734,BEM PIOR QUE EU,Sertanejo
2817,Marília Mendonça,30754,LOVE À QUEMIA ROUPA,Sertanejo
2818,Marília Mendonça,30758,OBRIGADO POR ESTRAGAR TUDO,Sertanejo
2819,Marília Mendonça,30801,TODO MUNDO VAI SOFRER,Sertanejo
2820,Marília Mendonça,30802,SUPERA,Sertanejo
2821,Marília Mendonça & Maiara e Maraísa,30803,BEBAÇA,Sertanejo
2822,Marília Mendonça ft. GAAB,30850,INTENÇÃO,Sertanejo
2823,Marilia Mendonça ft. Léo Santana,30804,APAIXONADINHA,Desconhecido
2824,Marília Mendonça part. Bruno e Marrone,30473,TRANSPLANTE,Sertanejo
2825,Marília Mendonça part. Henrique e Juliano,33757,IMPASSE,Sertanejo
2826,Marília Mendonça part. Maiara e Maraisa,30480,A CULPA É DELE,Sertanejo
2827,Marina Elali,30048,ONE LAST CRY,Desconhecido
2828,Marina Lima,01972,CHARME DO MUNDO,Desconhecido
2829,Marina Lima,03752,EU TE AMO VOCÊ,Desconhecido
2830,Marina Lima,03108,FULLGÁS,Desconhecido
2831,Marina Lima,03671,MESMO QUE SEJA EU,Desconhecido
2832,Marina Lima,03221,PRA COMEÇAR,Desconhecido
2833,Marina Lima,03282,UMA NOITE E MEIA,Desconhecido
2834,Marina Lima,07000,VIRGEM,Desconhecido
2835,Marina Lima,03301,À FRANCESA,Desconhecido
2836,Marina Lima,06886,ACONTECIMENTOS,Desconhecido
2837,Marisa Monte,33248,AINDA BEM,MPB/Romântico
2838,Marisa Monte,03009,AINDA LEMBRO,MPB/Romântico
2839,Marisa Monte,04424,AMOR I LOVE YOU,MPB/Romântico
2840,Marisa Monte,03030,BEM QUE SE QUIS,MPB/Romântico
2841,Marisa Monte,03612,DANÇA DA SOLIDÃO,MPB/Romântico
2842,Marisa Monte,03629,NA ESTRADA,MPB/Romântico
2843,Marisa Monte,04487,O QUE ME IMPORTA,MPB/Romântico
2844,Marisa Monte,07273,VILAREJO,MPB/Romântico
2845,Marisa Monte,03606,BEIJA EU,MPB/Romântico
2846,Marisa Monte,04031,DE NOITE NA CAMA,MPB/Romântico
2847,Marisa Monte,02741,DEPOIS,MPB/Romântico
2848,Marisa Monte,04393,EU SEI (NA MIRA),MPB/Romântico
2849,Marisa Monte,09687,ILUSION (PART JULIETA VENEGAS),MPB/Romântico
2850,Marisa Monte,06068,NÃO É FÁCIL,MPB/Romântico
2851,Marjorie Estiano,07216,POR MAIS QUE EU TENTE,Desconhecido
2852,Marjorie Estiano,06839,VOCÊ SEMPRE SERÁ,Desconhecido
2853,Markinhos Moura,06335,MEU MEL,Desconhecido
2854,Marlon e Maicon,06152,POR TE AMAR ASSIM,Sertanejo (dupla presumida)
2855,Marlon e Maicon,06390,TE PEÇO FICA COMIGO,Sertanejo (dupla presumida)
2856,Marquinhos Gomes,33507,NÃO MORREREI,Desconhecido
2857,Martinho da Vila,03560,"DEVAGAR, DEVAGARINHO",Samba/Pagode
2858,Martinho da Vila,07106,DISRITMIA,Samba/Pagode
2859,Martinho da Vila,03332,MULHERES,Samba/Pagode
2860,Martinho da Vila,15025,AQUARELA BRASILEIRA,Samba/Pagode
2861,Martinho da Vila,03409,CANTA MINHA GENTE,Samba/Pagode
2862,Martinho da Vila,04481,MADALENA DO JUCÚ,Samba/Pagode
2863,Maskavo,09350,UM ANJO DO CÉU,Desconhecido
2864,Mastruz com Leite,33580,MASSA DE MANDIOCA,Forró/Piseiro
2865,Mastruz com Leite,30526,MENINO SEM JUÍZO,Forró/Piseiro
2866,Mastruz com Leite,03158,MEU VAQUEIRO MEU PEÃO,Forró/Piseiro
2867,Mastruz com Leite,06358,TATUAGEM,Forró/Piseiro
2868,Mastruz com Leite,30805,A PRAIA,Forró/Piseiro
2869,Matanza,33830,CLUBE DOS CANALHAS,Desconhecido
2870,Mateus e Cristiano,33607,ABUSOU DO MEU CORPINHO,Sertanejo (dupla presumida)
